ID,Name,Longitude_WGS84,Latitude_WGS84,Street,AdmArea,District,RouteNumbers,StationName,Direction,Pavilion,OperatingOrgName,EntryState,global_id,geoData
75,"«Ангарская ул.», Коровинское шоссе (от центра)",37.52218296,55.87921929,Коровинское шоссе,Северный административный округ,Дмитровский район,А665; А799; А656; А114; АТ56,Ангарская ул.,от центра,да,ГУП «Мосгортранс»,активна,1715961,"{type=Point, coordinates=[37.52218296, 55.87921929]}"
76,"«Колледж № 7», Клязьминская улица (от центра)",37.52067236,55.88456731,Клязьминская улица,Северный административный округ,Дмитровский район,А665; А200; А194,Колледж № 7,от центра,да,ГУП «Мосгортранс»,активна,1715962,"{type=Point, coordinates=[37.52067236, 55.88456731]}"
77,"«Ин-т Микрохирургии глаза», Коровинское шоссе (в центр)",37.53738746,55.86877206,Коровинское шоссе,Северный административный округ,район Западное Дегунино,А194; А215К; А656; А672; АТ56,Ин-т Микрохирургии глаза,в центр,да,ГУП «Мосгортранс»,активна,1715963,"{type=Point, coordinates=[37.53738746, 55.86877206]}"
11,"«Наб. Тараса Шевченко», набережная Тараса Шевченко (от центра)",37.57271647,55.74976112,набережная Тараса Шевченко,Западный административный округ,район Дорогомилово,А157; А840,Наб. Тараса Шевченко,от центра,да,ЗАО «Валль-СНГ»,активна,1715965,"{type=Point, coordinates=[37.57271647, 55.74976112]}"
26,"«ВКНЦ», 3-я Черепковская улица (в центр)",37.37550932,55.7572642,3-я Черепковская улица,Западный административный округ,район Кунцево,А798; А816,ВКНЦ,в центр,да,ГУП «Мосгортранс»,активна,1715966,"{type=Point, coordinates=[37.37550932, 55.7572642]}"
32,"«Новосущевская ул.», улица Сущёвский Вал (в центр)",37.60337594,55.79289095,улица Сущёвский Вал,Северо-Восточный административный округ,район Марьина Роща,Тб42; АТ18; А126; А84К; А84,Новосущевская ул.,в центр,да,ООО «Праймсайт»,активна,1715967,"{type=Point, coordinates=[37.60337594, 55.79289095]}"
34,"«Керамический пр.», Дубнинская улица (в центр)",37.55724554,55.89460802,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Керамический пр.,в центр,да,ГУП «Мосгортранс»,активна,1715968,"{type=Point, coordinates=[37.55724554, 55.89460802]}"
35,"«Ин-т Стали», Дубнинская улица (в центр)",37.55729147,55.89142924,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Ин-т Стали,в центр,да,ГУП «Мосгортранс»,активна,1715969,"{type=Point, coordinates=[37.55729147, 55.89142924]}"
36,"«Мкр. Дубки», Дубнинская улица (в центр)",37.55730686,55.88768746,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Мкр. Дубки,в центр,да,ГУП «Мосгортранс»,активна,1715970,"{type=Point, coordinates=[37.55730686, 55.88768746]}"
37,"«Д/к Юность», Дубнинская улица (в центр)",37.5573643949,55.8833589241,Дубнинская улица,Северный административный округ,район Восточное Дегунино,А799; А677К; А167; А179; А677,Д/к Юность,в центр,да,ГУП «Мосгортранс»,активна,1715971,"{type=Point, coordinates=[37.5573643949, 55.8833589241]}"
38,"«Баскетбольная школа», улица 800-летия Москвы (в центр)",37.55636146,55.88011364,улица 800-летия Москвы,Северный административный округ,район Восточное Дегунино,А748; А799; А857; А149; А167; А179,Баскетбольная школа,в центр,да,ГУП «Мосгортранс»,активна,1715972,"{type=Point, coordinates=[37.55636146, 55.88011364]}"
39,"«Ул. 800-летия Москвы», Дмитровское шоссе (в центр)",37.54599654,55.87767168,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Ул. 800-летия Москвы,в центр,да,ГУП «Мосгортранс»,активна,1715973,"{type=Point, coordinates=[37.54599654, 55.87767168]}"
40,"«Бескудниково», Дмитровское шоссе (в центр)",37.54704248,55.87458982,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Бескудниково,в центр,нет,,активна,1715974,"{type=Point, coordinates=[37.54704248, 55.87458982]}"
41,"«Селигерская ул.», Дмитровское шоссе (в центр)",37.54674812,55.86919544,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763,Селигерская ул.,в центр,нет,,активна,1715975,"{type=Point, coordinates=[37.54674812, 55.86919544]}"
42,"«Парк Святослава Федорова», Дмитровское шоссе (в центр)",37.5484894912,55.8633348164,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Парк Святослава Федорова,в центр,да,ГУП «Мосгортранс»,активна,1715976,"{type=Point, coordinates=[37.5484894912, 55.8633348164]}"
43,"«Ильменский пр.», Дмитровское шоссе (в центр)",37.55318989,55.86077256,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Ильменский пр.,в центр,да,ГУП «Мосгортранс»,активна,1715977,"{type=Point, coordinates=[37.55318989, 55.86077256]}"
44,"«Ин-т Цветметавтоматика», Дмитровское шоссе (в центр)",37.5582614716,55.8582121735,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А179; А194; А763К; А763; АТ56; АТ78,Ин-т Цветметавтоматика,в центр,да,ГУП «Мосгортранс»,активна,1715978,"{type=Point, coordinates=[37.5582614716, 55.8582121735]}"
45,"«7-й автобусный парк», Дмитровское шоссе (в центр)",37.56585131,55.85033933,Дмитровское шоссе,Северный административный округ,район Западное Дегунино,А677К; А179; А194; А677; А114; А82; А692; А154,7-й автобусный парк,в центр,да,ГУП «Мосгортранс»,активна,1715979,"{type=Point, coordinates=[37.56585131, 55.85033933]}"
46,"«Нижн. Лихоборы», Дмитровское шоссе (в центр)",37.5673105,55.84733792,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А179; А194; А114; А82; А692,Нижн. Лихоборы,в центр,да,ГУП «Мосгортранс»,активна,1715980,"{type=Point, coordinates=[37.5673105, 55.84733792]}"
47,"«Метро Петровско-Разумовская», Локомотивный проезд (от центра)",37.57585651,55.83716907,Локомотивный проезд,Северный административный округ,Тимирязевский район,А204; А114; АТ19,Метро Петровско-Разумовская,от центра,да,ГУП «Мосгортранс»,активна,1715981,"{type=Point, coordinates=[37.57585651, 55.83716907]}"
48,"«К/т Байкал», Большая Академическая улица (в центр)",37.53956854,55.8371443498,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,К/т Байкал,в центр,да,ГУП «Мосгортранс»,активна,1715982,"{type=Point, coordinates=[37.53956854, 55.8371443498]}"
49,"«Стадион Наука», Большая Академическая улица (в центр)",37.5328525,55.83295208,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,в центр,да,ГУП «Мосгортранс»,активна,1715983,"{type=Point, coordinates=[37.5328525, 55.83295208]}"
50,"«Управа района Коптево», улица Зои и Александра Космодемьянских (в центр)",37.52242762,55.82411549,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,в центр,да,ГУП «Мосгортранс»,активна,1715984,"{type=Point, coordinates=[37.52242762, 55.82411549]}"
51,"«К/т Рассвет», улица Зои и Александра Космодемьянских (в центр)",37.51887274,55.82307265,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,К/т Рассвет,в центр,да,ГУП «Мосгортранс»,активна,1715985,"{type=Point, coordinates=[37.51887274, 55.82307265]}"
52,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских (в центр) (1)",37.51071983,55.82087948,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,в центр,нет,,активна,1715986,"{type=Point, coordinates=[37.51071983, 55.82087948]}"
53,"«3-й Новоподмосковный пер.», улица Зои и Александра Космодемьянских ( (от центра))(от центра)",37.51203859,55.8210445,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,3-й Новоподмосковный пер.,от центра,да,ГУП «Мосгортранс»,активна,1715987,"{type=Point, coordinates=[37.51203859, 55.8210445]}"
54,"«К/т Рассвет», улица Зои и Александра Космодемьянских (от центра)",37.51687828,55.82237098,улица Зои и Александра Космодемьянских,Северный административный округ,Войковский район,А204; А780; А179,К/т Рассвет,от центра,да,ГУП «Мосгортранс»,активна,1715988,"{type=Point, coordinates=[37.51687828, 55.82237098]}"
55,"«Управа района Коптево», улица Зои и Александра Космодемьянских (от центра)",37.5231852,55.82399093,улица Зои и Александра Космодемьянских,Северный административный округ,район Коптево,А204; А780; А179,Управа района Коптево,от центра,нет,,активна,1715989,"{type=Point, coordinates=[37.5231852, 55.82399093]}"
56,"«Стадион Наука», Большая Академическая улица (от центра)",37.53338601,55.83304516,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Стадион Наука,от центра,да,ГУП «Мосгортранс»,активна,1715990,"{type=Point, coordinates=[37.53338601, 55.83304516]}"
60,"«7-й автобусный парк», Дмитровское шоссе (от центра) (1)",37.56536026,55.85188534,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194,7-й автобусный парк,от центра,нет,,активна,1715992,"{type=Point, coordinates=[37.56536026, 55.85188534]}"
61,"«Ин-т Цветметавтоматика», Дмитровское шоссе (от центра)",37.55947707,55.8580184,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ин-т Цветметавтоматика,от центра,да,ГУП «Мосгортранс»,активна,1715993,"{type=Point, coordinates=[37.55947707, 55.8580184]}"
62,"«Ильменский пр.», Дмитровское шоссе (от центра)",37.5540423035,55.8609062765,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ47; Тб36; АТ78,Ильменский пр.,от центра,да,ГУП «Мосгортранс»,активна,1715994,"{type=Point, coordinates=[37.5540423035, 55.8609062765]}"
63,"«Парк Святослава Федорова», Дмитровское шоссе (от центра)",37.5494665429,55.8634774047,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А194; А763К; А763; АТ56; АТ78,Парк Святослава Федорова,от центра,да,ГУП «Мосгортранс»,активна,1715995,"{type=Point, coordinates=[37.5494665429, 55.8634774047]}"
64,"«Селигерская ул.», Дмитровское шоссе (от центра) (1)",37.54748211,55.86854848,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А179; А763К; А763; АТ78,Селигерская ул.,от центра,да,ГУП «Мосгортранс»,активна,1715996,"{type=Point, coordinates=[37.54748211, 55.86854848]}"
78,"«Селигерская ул.», Коровинское шоссе (в центр)",37.54227253,55.8664487,Коровинское шоссе,Северный административный округ,район Западное Дегунино,А194,Селигерская ул.,в центр,да,ГУП «Мосгортранс»,активна,1715997,"{type=Point, coordinates=[37.54227253, 55.8664487]}"
79,"«К/т Комсомолец», Дмитровское шоссе (в центр)",37.57003659,55.84090834,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А194; А677; А114; АМ10,К/т Комсомолец,в центр,да,ГУП «Мосгортранс»,активна,1715998,"{type=Point, coordinates=[37.57003659, 55.84090834]}"
80,"«Педагогический колледж», Большая Академическая улица (в центр)",37.55288338,55.84201028,Большая Академическая улица,Северный административный округ,район Коптево,А123; Тб57; А204; А87; А179; А114; АТ19,Педагогический колледж,в центр,да,ГУП «Мосгортранс»,активна,1715999,"{type=Point, coordinates=[37.55288338, 55.84201028]}"
81,"«Университет Природообустройства», Большая Академическая улица (в центр)",37.54470218,55.83894722,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; А114; АТ19,Университет Природообустройства,в центр,да,ГУП «Мосгортранс»,активна,1716000,"{type=Point, coordinates=[37.54470218, 55.83894722]}"
82,"«Роддом № 27», Большая Академическая улица (в центр)",37.53038275,55.8289194,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; АТ19,Роддом № 27,в центр,да,ГУП «Мосгортранс»,активна,1716001,"{type=Point, coordinates=[37.53038275, 55.8289194]}"
83,"«Роддом № 27», Большая Академическая улица (от центра)",37.53085818,55.82911305,Большая Академическая улица,Северный административный округ,район Коптево,Тб57; А204; А179; АТ19,Роддом № 27,от центра,да,ГУП «Мосгортранс»,активна,1716002,"{type=Point, coordinates=[37.53085818, 55.82911305]}"
84,"«Университет Природообустройства», Большая Академическая улица (от центра)",37.54499163,55.83864991,Большая Академическая улица,Северный административный округ,Тимирязевский район,Тб57; А204; А179; А114; АТ19,Университет Природообустройства,от центра,да,ГУП «Мосгортранс»,активна,1716003,"{type=Point, coordinates=[37.54499163, 55.83864991]}"
85,"«Педагогический колледж», Большая Академическая улица (от центра)",37.5546848,55.84225467,Большая Академическая улица,Северный административный округ,Тимирязевский район,А123; Тб57; А204; А87; А179; А114; АТ19,Педагогический колледж,от центра,да,ГУП «Мосгортранс»,активна,1716004,"{type=Point, coordinates=[37.5546848, 55.84225467]}"
86,"«Метро Петровско-Разумовская», улица Линии Октябрьской Железной Дороги (в центр)",37.5755751,55.83730911,улица Линии Октябрьской Железной Дороги,Северный административный округ,Тимирязевский район,А194,Метро Петровско-Разумовская,в центр,да,ГУП «Мосгортранс»,активна,1716005,"{type=Point, coordinates=[37.5755751, 55.83730911]}"
6,"«Дербеневская наб.», 3-й Дербеневский переулок (от центра)",37.6551636,55.72566817,3-й Дербеневский переулок,Южный административный округ,Даниловский район,А632,Дербеневская наб.,от центра,да,ГУП «Мосгортранс»,активна,1716008,"{type=Point, coordinates=[37.6551636, 55.72566817]}"
149,"«Ф-ка игрушек», улица Клары Цеткин (в центр)",37.51240141,55.82918223,улица Клары Цеткин,Северный административный округ,Войковский район,А621; А90,Ф-ка игрушек,в центр,да,ГУП «Мосгортранс»,активна,1716011,"{type=Point, coordinates=[37.51240141, 55.82918223]}"
150,"«Старопетровский пр.», Старопетровский проезд (в центр)",37.50758103,55.82460143,Старопетровский проезд,Северный административный округ,Войковский район,А621; А90; А114,Старопетровский пр.,в центр,да,ГУП «Мосгортранс»,активна,1716012,"{type=Point, coordinates=[37.50758103, 55.82460143]}"
151,"«Онкологический диспансер», Старопетровский проезд (в центр)",37.50344704,55.82364048,Старопетровский проезд,Северный административный округ,Войковский район,А621; А90; А114,Онкологический диспансер,в центр,да,ГУП «Мосгортранс»,активна,1716013,"{type=Point, coordinates=[37.50344704, 55.82364048]}"
153,"«Коровинское ш.», Коровинское шоссе (в центр)",37.51857144,55.88231105,Коровинское шоссе,Северный административный округ,район Западное Дегунино,А665; А799; А656; А114; АТ56,Коровинское ш.,в центр,да,ГУП «Мосгортранс»,активна,1716014,"{type=Point, coordinates=[37.51857144, 55.88231105]}"
154,"«Талдомская ул.», улица 800-летия Москвы (от центра)",37.52852678,55.8751219,улица 800-летия Москвы,Северный административный округ,Дмитровский район,А748; А799; А857; А114; А154; А92; А284,Талдомская ул.,от центра,да,ГУП «Мосгортранс»,активна,1716015,"{type=Point, coordinates=[37.52852678, 55.8751219]}"
155,"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (в центр)",37.53908121,55.87320802,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Ин-т Микрохирургии глаза,в центр,да,ГУП «Мосгортранс»,активна,1716016,"{type=Point, coordinates=[37.53908121, 55.87320802]}"
156,"«Муз. школа», Бескудниковский бульвар (в центр)",37.5438328,55.87348434,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Муз. школа,в центр,да,ГУП «Мосгортранс»,активна,1716017,"{type=Point, coordinates=[37.5438328, 55.87348434]}"
168,"«Метро Петровско-Разумовская», Локомотивный проезд (от центра) (1)",37.57571844,55.8372403,Локомотивный проезд,Северный административный округ,Тимирязевский район,А114,Метро Петровско-Разумовская,от центра,да,ГУП «Мосгортранс»,активна,1716018,"{type=Point, coordinates=[37.57571844, 55.8372403]}"
184,"«Детский сад», Нарвская улица (в центр)",37.50332207,55.84116825,Нарвская улица,Северный административный округ,Головинский район,А123; А565,Детский сад,в центр,да,ГУП «Мосгортранс»,активна,1716019,"{type=Point, coordinates=[37.50332207, 55.84116825]}"
185,"«3-й Лихачевский пер.», 3-й Лихачёвский переулок (от центра)",37.52188032,55.84887376,3-й Лихачёвский переулок,Северный административный округ,Головинский район,А123; А22,3-й Лихачевский пер.,от центра,да,ГУП «Мосгортранс»,активна,1716020,"{type=Point, coordinates=[37.52188032, 55.84887376]}"
126,"«Протезный з-д», Коровинское шоссе (от центра)",37.52851198,55.87373993,Коровинское шоссе,Северный административный округ,Дмитровский район,А194; А215К; А656; А672; АТ56; А92,Протезный з-д,от центра,да,ГУП «Мосгортранс»,активна,1716021,"{type=Point, coordinates=[37.52851198, 55.87373993]}"
127,"«Талдомская ул.», Коровинское шоссе (от центра)",37.5259288,55.87563883,Коровинское шоссе,Северный административный округ,Дмитровский район,А799; А194; А656; А672; А114; АТ56,Талдомская ул.,от центра,да,ГУП «Мосгортранс»,активна,1716022,"{type=Point, coordinates=[37.5259288, 55.87563883]}"
128,"«Ангарская ул.», Ангарская улица (от центра)",37.52488287,55.87892817,Ангарская улица,Северный административный округ,Дмитровский район,А194; А672; А928,Ангарская ул.,от центра,да,ГУП «Мосгортранс»,активна,1716023,"{type=Point, coordinates=[37.52488287, 55.87892817]}"
129,"«Ангарская ул., 49», Ангарская улица (от центра)",37.52936392,55.88135692,Ангарская улица,Северный административный округ,Дмитровский район,А194; А672; А928,"Ангарская ул., 49",от центра,да,ГУП «Мосгортранс»,активна,1716024,"{type=Point, coordinates=[37.52936392, 55.88135692]}"
130,"«Храм Матроны Московской», Ангарская улица (от центра)",37.53007852,55.88382937,Ангарская улица,Северный административный округ,Дмитровский район,А194; А672; А928,Храм Матроны Московской,от центра,да,ГУП «Мосгортранс»,активна,1716025,"{type=Point, coordinates=[37.53007852, 55.88382937]}"
131,"«Клязьминская ул.», Ангарская улица (от центра)",37.5253591113,55.8865758552,Ангарская улица,Северный административный округ,Дмитровский район,А194; А672,Клязьминская ул.,от центра,да,ГУП «Мосгортранс»,активна,1716026,"{type=Point, coordinates=[37.5253591113, 55.8865758552]}"
132,"«Учебный центр», Клязьминская улица (в центр)",37.52128998,55.88532526,Клязьминская улица,Северный административный округ,Дмитровский район,А665; А200; А194,Учебный центр,в центр,да,ГУП «Мосгортранс»,активна,1716027,"{type=Point, coordinates=[37.52128998, 55.88532526]}"
133,"«Школа им. Марш. Говорова», Смольная улица (от центра) (1)",37.48215583,55.86106097,Смольная улица,Северный административный округ,район Ховрино,А90,Школа им. Марш. Говорова,от центра,нет,,активна,1716028,"{type=Point, coordinates=[37.48215583, 55.86106097]}"
134,"«Смольная ул., 45», Смольная улица (от центра)",37.48021163,55.86265788,Смольная улица,Северный административный округ,район Ховрино,А90,"Смольная ул., 45",от центра,нет,,активна,1716029,"{type=Point, coordinates=[37.48021163, 55.86265788]}"
178,"«Муз. школа», Бескудниковский бульвар (от центра)",37.54269997,55.87363021,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Муз. школа,от центра,да,ГУП «Мосгортранс»,активна,1716030,"{type=Point, coordinates=[37.54269997, 55.87363021]}"
179,"«Ин-т Микрохирургии глаза», Бескудниковский бульвар (от центра)",37.53715086,55.87348554,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Ин-т Микрохирургии глаза,от центра,да,ГУП «Мосгортранс»,активна,1716031,"{type=Point, coordinates=[37.53715086, 55.87348554]}"
180,"«Коровинское ш.», Коровинское шоссе (от центра)",37.51786602,55.88341325,Коровинское шоссе,Северный административный округ,Дмитровский район,А799; А200; А656,Коровинское ш.,от центра,да,ГУП «Мосгортранс»,активна,1716032,"{type=Point, coordinates=[37.51786602, 55.88341325]}"
169,"«К/т Комсомолец», Дмитровское шоссе (от центра) (3)",37.57029254,55.84221842,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А194; А114; АТ56; АТ47; А82; А692; АТ78,К/т Комсомолец,от центра,да,ГУП «Мосгортранс»,активна,1716033,"{type=Point, coordinates=[37.57029254, 55.84221842]}"
170,"«Нижн. Лихоборы», Дмитровское шоссе (от центра) (1)",37.56848803,55.84699926,Дмитровское шоссе,Северный административный округ,Тимирязевский район,А677К; А179; А194; А114; А82; А692; А154; АТ78,Нижн. Лихоборы,от центра,да,ГУП «Мосгортранс»,активна,1716034,"{type=Point, coordinates=[37.56848803, 55.84699926]}"
171,"«7-й автобусный парк», Дмитровское шоссе (от центра) (2)",37.5655145,55.85171839,Дмитровское шоссе,Северный административный округ,Бескудниковский район,А677К; А677; А114; АМ10; А82; А692,7-й автобусный парк,от центра,да,ГУП «Мосгортранс»,активна,1716035,"{type=Point, coordinates=[37.5655145, 55.85171839]}"
172,"«Торговый центр», Бескудниковский бульвар (от центра)",37.5616735836,55.8628546051,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Торговый центр,от центра,да,ГУП «Мосгортранс»,активна,1716036,"{type=Point, coordinates=[37.5616735836, 55.8628546051]}"
173,"«Бескудниковский пер.», Бескудниковский бульвар (от центра)",37.56012464,55.86490713,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Бескудниковский пер.,от центра,да,ГУП «Мосгортранс»,активна,1716037,"{type=Point, coordinates=[37.56012464, 55.86490713]}"
174,"«Рогачевский пер.», Бескудниковский бульвар (от центра)",37.55664809,55.86932066,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Рогачевский пер.,от центра,да,ГУП «Мосгортранс»,активна,1716038,"{type=Point, coordinates=[37.55664809, 55.86932066]}"
175,"«Школа № 656», Бескудниковский бульвар (от центра)",37.55392499,55.8726825,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Школа № 656,от центра,да,ГУП «Мосгортранс»,активна,1716039,"{type=Point, coordinates=[37.55392499, 55.8726825]}"
176,"«Аптека», Бескудниковский бульвар (от центра)",37.5508956,55.87378923,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Аптека,от центра,да,ГУП «Мосгортранс»,активна,1716040,"{type=Point, coordinates=[37.5508956, 55.87378923]}"
177,"«Бескудниково», Бескудниковский бульвар (от центра)",37.5464019242,55.873837739,Бескудниковский бульвар,Северный административный округ,Бескудниковский район,А167; А114; АМ10; А154,Бескудниково,от центра,да,ГУП «Мосгортранс»,активна,1716041,"{type=Point, coordinates=[37.5464019242, 55.873837739]}"
181,"«Кронштадтский бульв.», Кронштадтский бульвар (от центра)",37.49676253,55.84295524,Кронштадтский бульвар,Северный административный округ,Головинский район,А123; А698; А565; А65; А65К; А72,Кронштадтский бульв.,от центра,да,ГУП «Мосгортранс»,активна,1716042,"{type=Point, coordinates=[37.49676253, 55.84295524]}"
182,"«Гимназия № 1583», Кронштадтский бульвар (от центра)",37.4997610497,55.843699484,Кронштадтский бульвар,Северный административный округ,Головинский район,А123; А565; А65; А65К; А72,Гимназия № 1583,от центра,да,ГУП «Мосгортранс»,активна,1716043,"{type=Point, coordinates=[37.4997610497, 55.843699484]}"
183,"«Нарвская ул. - Университет Гражданской Авиации», Кронштадтский бульвар (от центра)",37.50222806,55.84379443,Кронштадтский бульвар,Северный административный округ,Головинский район,А123; А565,Нарвская ул. - Университет Гражданской Авиации,от центра,да,ГУП «Мосгортранс»,активна,1716044,"{type=Point, coordinates=[37.50222806, 55.84379443]}"
93,"«Колледж № 7», Клязьминская улица (в центр)",37.51853547,55.88351247,Клязьминская улица,Северный административный округ,Дмитровский район,А665; А194,Колледж № 7,в центр,да,ГУП «Мосгортранс»,активна,1716045,"{type=Point, coordinates=[37.51853547, 55.88351247]}"
94,"«Ангарская ул.», Ангарская улица (в центр)",37.5202723,55.87759056,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Ангарская ул.,в центр,да,ГУП «Мосгортранс»,активна,1716046,"{type=Point, coordinates=[37.5202723, 55.87759056]}"
95,"«Мкр. Западное Дегунино», Ангарская улица (в центр)",37.51697285,55.87600214,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Мкр. Западное Дегунино,в центр,да,ГУП «Мосгортранс»,активна,1716047,"{type=Point, coordinates=[37.51697285, 55.87600214]}"
96,"«Весенняя ул.», Ангарская улица (в центр)",37.51498184,55.87432548,Ангарская улица,Северный административный округ,район Западное Дегунино,А665; А928,Весенняя ул.,в центр,да,ГУП «Мосгортранс»,активна,1716048,"{type=Point, coordinates=[37.51498184, 55.87432548]}"
